id;time;agent;agentid;state;radius;x;y;z;cellpart;cellpart_id;
6;0;FungalCellAlveolus;0;FungalOnAEC2;1.39;-87.8371;52.0317;56.1214;Mothercell;basic;
6;30;FungalCellAlveolus;0;OnAEC2Swelling;1.39805;-87.8371;52.0317;56.1214;Mothercell;basic;
6;60;FungalCellAlveolus;0;OnAEC2Swelling;1.41416;-87.8371;52.0317;56.1214;Mothercell;basic;
6;90;FungalCellAlveolus;0;OnAEC2Swelling;1.46005;-87.8371;52.0317;56.1214;Mothercell;basic;
6;120;FungalCellAlveolus;0;OnAEC2Swelling;1.57516;-87.8371;52.0317;56.1214;Mothercell;basic;
6;150;FungalCellAlveolus;0;OnAEC2Swelling;1.79048;-87.8371;52.0317;56.1214;Mothercell;basic;
6;180;FungalCellAlveolus;0;OnAEC2Swelling;2.03627;-87.8371;52.0317;56.1214;Mothercell;basic;
6;210;FungalCellAlveolus;0;OnAEC2Swelling;2.19832;-87.8371;52.0317;56.1214;Mothercell;basic;
6;240;FungalCellAlveolus;0;OnAEC2Swelling;2.27035;-87.8371;52.0317;56.1214;Mothercell;basic;
6;270;FungalCellAlveolus;0;OnAEC2Swelling;2.29669;-87.8371;52.0317;56.1214;Mothercell;basic;
6;300;FungalCellAlveolus;0;OnAEC2Swelling;2.30562;-87.8371;52.0317;56.1214;Mothercell;basic;
6;330;FungalCellAlveolus;0;OnAEC2Swelling;2.30857;-87.8371;52.0317;56.1214;Mothercell;basic;
6;360;FungalCellAlveolus;0;OnAEC2Swelling;2.30953;-87.8371;52.0317;56.1214;Mothercell;basic;
6;390;FungalCellAlveolus;0;OnAEC2Swelling;2.30985;-87.8371;52.0317;56.1214;Mothercell;basic;
6;420;FungalCellAlveolus;0;OnAEC2Swelling;2.30995;-87.8371;52.0317;56.1214;Mothercell;basic;
6;450;FungalCellAlveolus;0;OnAEC2Swelling;2.30998;-87.8371;52.0317;56.1214;Mothercell;basic;
6;480;FungalCellAlveolus;0;OnAEC2Swelling;2.30999;-87.8371;52.0317;56.1214;Mothercell;basic;
7;0;FungalCellAlveolus;0;FungalOnAEC1;1.39;84.2392;61.5167;-51.8816;Mothercell;basic;
7;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;84.2392;61.5167;-51.8816;Mothercell;basic;
7;60;FungalCellAlveolus;0;OnAEC1Swelling;1.41416;84.2392;61.5167;-51.8816;Mothercell;basic;
7;90;FungalCellAlveolus;0;OnAEC1Swelling;1.46005;84.2392;61.5167;-51.8816;Mothercell;basic;
7;120;FungalCellAlveolus;0;OnAEC1Swelling;1.57516;84.2392;61.5167;-51.8816;Mothercell;basic;
7;150;FungalCellAlveolus;0;OnAEC1Swelling;1.79048;84.2392;61.5167;-51.8816;Mothercell;basic;
7;180;FungalCellAlveolus;0;OnAEC1Swelling;2.03627;84.2392;61.5167;-51.8816;Mothercell;basic;
7;210;FungalCellAlveolus;0;OnAEC1Swelling;2.19832;84.2392;61.5167;-51.8816;Mothercell;basic;
7;240;FungalCellAlveolus;0;OnAEC1Swelling;2.27035;84.2392;61.5167;-51.8816;Mothercell;basic;
7;270;FungalCellAlveolus;0;OnAEC1Swelling;2.29669;84.2392;61.5167;-51.8816;Mothercell;basic;
7;300;FungalCellAlveolus;0;OnAEC1Swelling;2.30562;84.2392;61.5167;-51.8816;Mothercell;basic;
7;330;FungalCellAlveolus;0;OnAEC1Swelling;2.30857;84.2392;61.5167;-51.8816;Mothercell;basic;
7;360;FungalCellAlveolus;0;OnAEC1Swelling;2.30953;84.2392;61.5167;-51.8816;Mothercell;basic;
7;390;FungalCellAlveolus;0;OnAEC1Swelling;2.30985;84.2392;61.5167;-51.8816;Mothercell;basic;
7;420;FungalCellAlveolus;0;OnAEC1Swelling;2.30995;84.2392;61.5167;-51.8816;Mothercell;basic;
7;450;FungalCellAlveolus;0;OnAEC1Swelling;2.30998;84.2392;61.5167;-51.8816;Mothercell;basic;
7;480;FungalCellAlveolus;0;OnAEC1Swelling;2.30999;84.2392;61.5167;-51.8816;Mothercell;basic;
8;0;FungalCellAlveolus;0;OnAEC1Swelling;1.39;-111.604;10.9047;-31.5885;Mothercell;basic;
8;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;-111.604;10.9047;-31.5885;Mothercell;basic;
8;60;FungalCellAlveolus;0;OnAEC1Swelling;1.41416;-111.604;10.9047;-31.5885;Mothercell;basic;
8;90;FungalCellAlveolus;0;OnAEC1Swelling;1.46005;-111.604;10.9047;-31.5885;Mothercell;basic;
8;120;FungalCellAlveolus;0;OnAEC1Swelling;1.57516;-111.604;10.9047;-31.5885;Mothercell;basic;
8;150;FungalCellAlveolus;0;OnAEC1Swelling;1.79048;-111.604;10.9047;-31.5885;Mothercell;basic;
8;180;FungalCellAlveolus;0;OnAEC1Swelling;2.03627;-111.604;10.9047;-31.5885;Mothercell;basic;
8;210;FungalCellAlveolus;0;OnAEC1Swelling;2.19832;-111.604;10.9047;-31.5885;Mothercell;basic;
8;240;FungalCellAlveolus;0;OnAEC1Swelling;2.27035;-111.604;10.9047;-31.5885;Mothercell;basic;
8;270;FungalCellAlveolus;0;OnAEC1Swelling;2.29669;-111.604;10.9047;-31.5885;Mothercell;basic;
8;300;FungalCellAlveolus;0;OnAEC1Swelling;2.30562;-111.604;10.9047;-31.5885;Mothercell;basic;
8;330;FungalCellAlveolus;0;OnAEC1Swelling;2.30857;-111.604;10.9047;-31.5885;Mothercell;basic;
8;360;FungalCellAlveolus;0;OnAEC1Swelling;2.30953;-111.604;10.9047;-31.5885;Mothercell;basic;
8;390;FungalCellAlveolus;0;OnAEC1Swelling;2.30985;-111.604;10.9047;-31.5885;Mothercell;basic;
8;420;FungalCellAlveolus;0;OnAEC1Swelling;2.30995;-111.604;10.9047;-31.5885;Mothercell;basic;
8;450;FungalCellAlveolus;0;OnAEC1Swelling;2.30998;-111.604;10.9047;-31.5885;Mothercell;basic;
8;480;FungalCellAlveolus;0;OnAEC1Swelling;2.30999;-111.604;10.9047;-31.5885;Mothercell;basic;
9;0;FungalCellAlveolus;0;OnAEC1Swelling;1.39;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;60;FungalCellAlveolus;0;OnAEC1Swelling;1.41416;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;90;FungalCellAlveolus;0;OnAEC1Swelling;1.46005;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;120;FungalCellAlveolus;0;OnAEC1Swelling;1.57516;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;150;FungalCellAlveolus;0;OnAEC1Swelling;1.79048;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;180;FungalCellAlveolus;0;OnAEC1Swelling;2.03627;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;210;FungalCellAlveolus;0;OnAEC1Swelling;2.19832;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;240;FungalCellAlveolus;0;OnAEC1Swelling;2.27035;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;270;FungalCellAlveolus;0;OnAEC1Swelling;2.29669;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;300;FungalCellAlveolus;0;OnAEC1Swelling;2.30562;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;330;FungalCellAlveolus;0;OnAEC1Swelling;2.30857;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;360;FungalCellAlveolus;0;OnAEC1Swelling;2.30953;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;390;FungalCellAlveolus;0;OnAEC1Swelling;2.30985;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;420;FungalCellAlveolus;0;OnAEC1Swelling;2.30995;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;450;FungalCellAlveolus;0;OnAEC1Swelling;2.30998;-93.5549;-63.9583;27.0013;Mothercell;basic;
9;480;FungalCellAlveolus;0;OnAEC1Swelling;2.30999;-93.5549;-63.9583;27.0013;Mothercell;basic;
10;0;FungalCellAlveolus;0;OnAEC1Swelling;1.39;17.9859;2.35636;-115.079;Mothercell;basic;
10;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;17.9859;2.35636;-115.079;Mothercell;basic;
10;60;FungalCellAlveolus;0;OnAEC1Swelling;1.41416;17.9859;2.35636;-115.079;Mothercell;basic;
10;90;FungalCellAlveolus;0;OnAEC1Swelling;1.46005;17.9859;2.35636;-115.079;Mothercell;basic;
10;120;FungalCellAlveolus;0;OnAEC1Swelling;1.57516;17.9859;2.35636;-115.079;Mothercell;basic;
10;150;FungalCellAlveolus;0;OnAEC1Swelling;1.79048;17.9859;2.35636;-115.079;Mothercell;basic;
10;180;FungalCellAlveolus;0;OnAEC1Swelling;2.03627;17.9859;2.35636;-115.079;Mothercell;basic;
10;210;FungalCellAlveolus;0;OnAEC1Swelling;2.19832;17.9859;2.35636;-115.079;Mothercell;basic;
10;240;FungalCellAlveolus;0;OnAEC1Swelling;2.27035;17.9859;2.35636;-115.079;Mothercell;basic;
10;270;FungalCellAlveolus;0;OnAEC1Swelling;2.29669;17.9859;2.35636;-115.079;Mothercell;basic;
10;300;FungalCellAlveolus;0;OnAEC1Swelling;2.30562;17.9859;2.35636;-115.079;Mothercell;basic;
10;330;FungalCellAlveolus;0;OnAEC1Swelling;2.30857;17.9859;2.35636;-115.079;Mothercell;basic;
10;360;FungalCellAlveolus;0;OnAEC1Swelling;2.30953;17.9859;2.35636;-115.079;Mothercell;basic;
10;390;FungalCellAlveolus;0;OnAEC1Swelling;2.30985;17.9859;2.35636;-115.079;Mothercell;basic;
10;420;FungalCellAlveolus;0;OnAEC1Swelling;2.30995;17.9859;2.35636;-115.079;Mothercell;basic;
10;450;FungalCellAlveolus;0;OnAEC1Swelling;2.30998;17.9859;2.35636;-115.079;Mothercell;basic;
10;480;FungalCellAlveolus;0;OnAEC1Swelling;2.30999;17.9859;2.35636;-115.079;Mothercell;basic;
11;0;FungalCellAlveolus;0;OnAEC1Swelling;1.39;-100.062;37.3086;46.5604;Mothercell;basic;
11;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;-100.062;37.3086;46.5604;Mothercell;basic;
11;60;FungalCellAlveolus;0;OnAEC1Swelling;1.41416;-100.062;37.3086;46.5604;Mothercell;basic;
11;90;FungalCellAlveolus;0;OnAEC1Swelling;1.46005;-100.062;37.3086;46.5604;Mothercell;basic;
11;120;FungalCellAlveolus;0;OnAEC1Swelling;1.57516;-100.062;37.3086;46.5604;Mothercell;basic;
11;150;FungalCellAlveolus;0;OnAEC1Swelling;1.79048;-100.062;37.3086;46.5604;Mothercell;basic;
11;180;FungalCellAlveolus;0;OnAEC1Swelling;2.03627;-100.062;37.3086;46.5604;Mothercell;basic;
11;210;FungalCellAlveolus;0;OnAEC1Swelling;2.19832;-100.062;37.3086;46.5604;Mothercell;basic;
11;240;FungalCellAlveolus;0;OnAEC1Swelling;2.27035;-100.062;37.3086;46.5604;Mothercell;basic;
11;270;FungalCellAlveolus;0;OnAEC1Swelling;2.29669;-100.062;37.3086;46.5604;Mothercell;basic;
11;300;FungalCellAlveolus;0;OnAEC1Swelling;2.30562;-100.062;37.3086;46.5604;Mothercell;basic;
