Time,Area,Round,Category
6,14.979,0.774,1
6,13.416,0.788,1
6,27.642,0.35,1
6,6.891,0.827,1
6,11.736,0.658,1
6,16.552,0.578,1
6,8.918,0.833,1
6,10.25,0.791,1
6,10.955,0.577,1
6,11.283,0.904,1
6,15.78,0.607,1
6,9.121,0.9,1
6,14.699,0.859,1
6,11.186,0.945,1
6,6.167,0.893,1
6,7.769,0.731,1
6,12.576,0.853,1
6,38.876,0.26,1
6,12.45,0.83,1
6,16.108,0.93,1
6,13.763,0.93,1
6,13.435,0.887,1
6,10.298,0.829,1
6,9.796,0.95,1
6,11.727,0.875,1
6,10.414,0.439,1
6,7.847,0.923,1
6,6.36,0.912,1
6,10.53,0.854,1
6,5.279,0.796,1
6,10.752,0.943,1
6,13.039,0.945,1
6,13.889,0.768,1
6,6.853,0.749,1
6,12.759,0.882,1
6,10.926,0.773,1
6,7.509,0.804,1
6,6.389,0.818,1
6,9.304,0.975,1
6,6.795,0.827,1
6,7.914,0.85,1
6,8.416,0.791,1
6,6.245,0.896,1
6,6.631,0.912,1
6,7.171,0.913,1
6,29.707,0.265,1
6,50.034,0.241,1
6,6.476,0.883,1
6,7.48,0.854,1
6,13.03,0.876,1
6,4.584,0.917,1
6,10.742,0.862,1
6,9.98,0.896,1
6,13.782,0.816,1
6,17.807,0.937,1
6,16.46,0.448,0
6,6.66,0.796,0
6,5.048,0.904,0
6,19.863,0.446,0
6,24.399,0.472,0
6,47.804,0.363,0
6,54.232,0.151,0
6,53.499,0.132,0
6,75.658,0.287,0
6,35.605,0.444,0
6,30.634,0.447,0
6,51.838,0.351,0
6,17.276,0.861,0
6,19.718,0.905,0
6,83.351,0.136,0
6,19.38,0.51,0
6,27.391,0.429,0
6,18.714,0.323,0
6,19.979,0.382,0
6,20.538,0.462,0
6,20.722,0.832,0
6,18.097,0.932,0
6,25.895,0.662,0
6,26.609,0.81,0
6,24.081,0.818,0
6,24.853,0.627,0
6,20.809,0.82,0
6,16.205,0.922,0
6,20.519,0.869,0
6,19.728,0.96,0
6,23.502,0.906,0
6,15.645,0.951,0
6,31.908,0.684,0
6,14.545,0.804,0
6,20.191,0.823,0
6,20.104,0.876,0
6,23.656,0.579,0
6,24.042,0.809,0
6,28.684,0.574,0
6,22.006,0.99,0
6,22.372,0.913,0
6,25.393,0.914,0
6,12.431,0.935,0
6,0.01,1,0
6,23.608,0.846,0
6,25.055,0.613,0
6,20.809,0.831,0
6,17.682,0.942,0
6,26.426,0.896,0
6,26.407,0.952,0
6,17.46,0.853,0
6,8.908,0.902,0
6,24.139,0.839,0
6,20.876,0.918,0
6,18.811,0.922,0
6,22.237,0.937,0
6,31.744,0.55,0
6,19.718,0.919,0
6,26.696,0.623,0
6,17.16,0.835,0
6,52.997,0.399,0
6,23.009,0.929,0
6,14.014,0.916,0
6,15.529,0.873,0
8,5.202,0.963,1
8,11.389,0.866,1
8,9.372,0.852,1
8,7.963,0.823,1
8,10.549,0.766,1
8,14.999,0.439,1
8,12.267,0.819,1
8,15.095,0.929,1
8,12.315,0.897,1
8,14.989,0.922,1
8,6.843,0.801,1
8,10.568,0.873,1
8,11.408,0.768,1
8,5.443,0.899,1
8,7.615,0.982,1
8,8.078,0.865,1
8,31.898,0.329,1
8,12.866,0.767,1
8,5.115,0.941,1
8,7.239,0.812,1
8,4.227,0.715,1
8,4.121,0.884,1
8,9.584,0.852,1
8,4.7,0.903,1
8,6.293,0.96,1
8,4.971,0.95,1
8,7.789,0.549,1
8,8.426,0.903,1
8,7.21,0.663,1
8,6.09,0.764,1
8,11.63,0.789,1
8,10.771,0.913,1
8,6.254,0.897,1
8,8.725,0.788,1
8,17.054,0.927,1
